0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
2 3 6 54.6895 2998.27 329.784 -42.2934 0 4.24675 -44.9998 -30.7841 2998.86 2999.16 231.966 -62.3201 -99.7763 -14.0152 43.0082 -30.7311 260.775 -0.156444 -150.242 42.0278 17.1282 -29.7738 88.0797 0
3 20 20 114.223 2014.02 268.477 196.202 0 25.0555 -110.324 15.7314 2014.34 2018.2 254.679 105.648 13.0367 -56.636 -97.9317 15.679 67.9788 254.286 174.842 76.4071 69.8172 12.9097 86.8316 0
4 8 8 34.9275 12309.9 -299.504 -145.398 0 -20.3134 27.2421 8.05633 12310.3 12312.8 -239.645 -99.3281 27.7722 21.85 -25.9245 8.05925 -230.531 -132.925 192.465 -6.5267 -32.6046 7.12159 89.8861 0
5 0 0 9.3745 20061.5 196.588 268.309 0 -8.21481 -0.763692 -4.42197 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
6 0 0 22.5062 433.441 237.162 -233.113 0 -6.44704 -16.0998 -14.3353 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
7 23 23 268.368 5775.66 -166.015 288.499 0 240.777 114.792 29.4952 5776.9 5779.57 174.122 226.908 40.8177 185.304 -191.661 29.5058 -142.46 -247.061 139.603 -244.171 98.6386 34.1215 -88.1589 1
8 6 9 76.2631 10804.9 244.936 224.966 0 57.8446 -31.9726 -38.0467 10805.5 10806.2 260.208 107.909 -78.9681 -47.2355 -45.9387 -38.344 141.404 184.1 -187.621 21.1295 62.1493 -34.9887 85.842 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
2 3 6 54.6895 2998.27 329.784 -42.2934 0 4.24675 -44.9998 -30.7841 2998.86 2999.16 231.966 -62.3201 -99.7763 -14.0152 43.0082 -30.7311 260.775 -0.156444 -150.242 42.0278 17.1282 -29.7738 88.0797 0
3 20 20 114.223 2014.02 268.477 196.202 0 25.0555 -110.324 15.7314 2014.34 2018.2 254.679 105.648 13.0367 -56.636 -97.9317 15.679 67.9788 254.286 174.842 76.4071 69.8172 12.9097 86.8316 0
4 8 8 34.9275 12309.9 -299.504 -145.398 0 -20.3134 27.2421 8.05633 12310.3 12312.8 -239.645 -99.3281 27.7722 21.85 -25.9245 8.05925 -230.531 -132.925 192.465 -6.5267 -32.6046 7.12159 89.8861 0
5 0 0 9.3745 20061.5 196.588 268.309 0 -8.21481 -0.763692 -4.42197 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
6 0 0 22.5062 433.441 237.162 -233.113 0 -6.44704 -16.0998 -14.3353 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
7 23 23 268.368 5775.66 -166.015 288.499 0 240.777 114.792 29.4952 5776.9 5779.57 174.122 226.908 40.8177 185.304 -191.661 29.5058 -142.46 -247.061 139.603 -244.171 98.6386 34.1215 -88.1589 1
8 6 9 76.2631 10804.9 244.936 224.966 0 57.8446 -31.9726 -38.0467 10805.5 10806.2 260.208 107.909 -78.9681 -47.2355 -45.9387 -38.344 141.404 184.1 -187.621 21.1295 62.1493 -34.9887 85.842 0
9 9 10 133.106 1657.7 -91.0724 320.102 0 128.125 19.1863 30.5433 1658.18 1660.12 36.1151 275.016 33.1136 87.7119 -95.4015 30.2694 -202.396 202.191 161.41 20.7122 123.506 27.1385 88.743 0
10 1 1 35.9957 4449.04 22.5693 -331.952 0 -21.4114 18.0548 22.6056 4449.34 0 36.3947 -277.655 56.1124 27.4357 5.71432 22.5778 0 0 0 0 0 0 -1000 0
11 9 11 97.1293 14091.6 -286.506 -169.553 0 -31.8743 88.3875 -24.6076 14092 14093.3 -272.954 -73.1601 -26.5132 55.3284 75.7424 -24.9847 -128.733 -223.194 -126.059 -77.8535 -50.3563 -24.6073 -88.3686 0
12 4 4 73.6933 13321.5 -11.3386 -332.55 0 -64.1519 -5.80593 -35.7948 13322.3 13322.6 -53.5693 -199.374 -107.392 55.8557 32.2108 -35.6594 26.7833 -203.779 -155.763 50.8786 -37.872 -36.5231 -89.9913 0
13 12 13 112.972 12003 296.899 149.778 0 78.9379 -73.7842 32.9704 12003.8 12005.3 282.142 -36.9959 65.6536 -86.4852 -58.4825 31.799 236.616 136.793 192.792 75.1921 -39.0092 25.6623 89.2867 0
14 0 0 3.47675 1800.24 330.987 31.4586 0 -2.1974 1.76477 1.97071 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
15 19 22 81.1831 2967.37 180.248 279.522 0 65.0164 -47.8858 -8.38203 2968.15 2972.34 118.369 118.145 -24.189 -80.3959 7.60076 -8.29716 67.7299 253.345 -174.496 47.7463 54.0434 -11.2681 89.2046 1
16 2 2 33.6656 4882.27 167.925 287.109 0 23.5415 -18.3901 -15.515 4882.64 4883.2 133.385 230.827 -50.1314 -27.4123 12.3326 -15.1043 133.386 230.836 -126.82 -20.1433 7.51343 -11.2652 -1000 0
17 47 59 199.377 4662.72 212.234 -256.057 0 -123.828 -154.063 -26.1187 4664.1 4668.13 -139.677 -242.241 -54.0523 -111.4 163.274 -26.103 69.485 -90.7426 -199.976 60.1258 37.0204 -3.55713 88.2331 1
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
2 3 6 54.6895 2998.27 329.784 -42.2934 0 4.24675 -44.9998 -30.7841 2998.86 2999.16 231.966 -62.3201 -99.7763 -14.0152 43.0082 -30.7311 260.775 -0.156444 -150.242 42.0278 17.1282 -29.7738 88.0797 0
3 20 20 114.223 2014.02 268.477 196.202 0 25.0555 -110.324 15.7314 2014.34 2018.2 254.679 105.648 13.0367 -56.636 -97.9317 15.679 67.9788 254.286 174.842 76.4071 69.8172 12.9097 86.8316 0
4 8 8 34.9275 12309.9 -299.504 -145.398 0 -20.3134 27.2421 8.05633 12310.3 12312.8 -239.645 -99.3281 27.7722 21.85 -25.9245 8.05925 -230.531 -132.925 192.465 -6.5267 -32.6046 7.12159 89.8861 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
2 3 6 54.6895 2998.27 329.784 -42.2934 0 4.24675 -44.9998 -30.7841 2998.86 2999.16 231.966 -62.3201 -99.7763 -14.0152 43.0082 -30.7311 260.775 -0.156444 -150.242 42.0278 17.1282 -29.7738 88.0797 0
3 20 20 114.223 2014.02 268.477 196.202 0 25.0555 -110.324 15.7314 2014.34 2018.2 254.679 105.648 13.0367 -56.636 -97.9317 15.679 67.9788 254.286 174.842 76.4071 69.8172 12.9097 86.8316 0
4 8 8 34.9275 12309.9 -299.504 -145.398 0 -20.3134 27.2421 8.05633 12310.3 12312.8 -239.645 -99.3281 27.7722 21.85 -25.9245 8.05925 -230.531 -132.925 192.465 -6.5267 -32.6046 7.12159 89.8861 0
5 0 0 9.3745 20061.5 196.588 268.309 0 -8.21481 -0.763692 -4.42197 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
6 0 0 22.5062 433.441 237.162 -233.113 0 -6.44704 -16.0998 -14.3353 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 -1000 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
2 3 6 54.6895 2998.27 329.784 -42.2934 0 4.24675 -44.9998 -30.7841 2998.86 2999.16 231.966 -62.3201 -99.7763 -14.0152 43.0082 -30.7311 260.775 -0.156444 -150.242 42.0278 17.1282 -29.7738 88.0797 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
1 117 122 191.257 456.519 10.5561 -332.559 0 -187.313 38.6297 0.803161 456.989 468.55 -108.356 -261.945 0.591569 -123.411 146.099 0.660362 -37.1166 -90.0162 -34.3139 -1.45581 93.3045 -2.21377 26.5656 0
0 109 122 265.697 2082.4 199.984 -265.738 0 -194.472 -180.97 5.02889 2084.97 2096.76 -282.244 37.025 14.6159 78.5488 253.763 5.08833 -50.4885 65.6464 74.0513 21.6609 -5.56101 4.94312 -79.7261 0
